"size","learning_rate","maxit","train_nmse","train_rmse","test_nmse","test_rmse"
"5",0.001,50,0.767159758198872,0.875857460038679,0.769386748541477,0.876909202931441
"5",0.001,100,0.749653621520804,0.865809230736435,0.753173347297618,0.867605130188605
"5",0.001,200,0.736733570996975,0.85831504147577,0.743122546740884,0.861807960874022
"5",0.005,50,0.736276606106252,0.858048432218394,0.743354154960493,0.861949417042299
"5",0.005,100,0.728145864870667,0.85329783921763,0.73996280017715,0.859960812919351
"5",0.005,200,0.723930588409613,0.850824193313746,0.737384481589277,0.858488533205898
"5",0.01,50,0.730018833447937,0.854393718927183,0.739769685052671,0.859876111558935
"5",0.01,100,0.725308347420461,0.851633585165407,0.739714476470658,0.859822507176272
"5",0.01,200,0.72291603530305,0.850227523334925,0.740870106602271,0.860498455253919
"5",0.05,50,0.727520295716061,0.852931311241296,0.745145078875102,0.862969003612212
"5",0.05,100,0.724580680281268,0.851206556730129,0.744633396915271,0.862694465444659
"5",0.05,200,0.723864717283716,0.850785931252495,0.748742538835944,0.86506769576217
"10",0.001,50,0.762711034313149,0.873315619342225,0.764821546566532,0.874302180503784
"10",0.001,100,0.745530071131859,0.863423572338063,0.749419016670085,0.865454086806802
"10",0.001,200,0.730232180378177,0.854518630594039,0.738081702622438,0.858889361939823
"10",0.005,50,0.726278184343533,0.852202382057261,0.734496100402389,0.85679923923801
"10",0.005,100,0.713895552178146,0.844906343474672,0.728206875595653,0.853116501965531
"10",0.005,200,0.705398366481143,0.839861893701573,0.723341478374286,0.850275412497511
"10",0.01,50,0.715750527382226,0.846002363729539,0.730549783392427,0.854504472270477
"10",0.01,100,0.706782575448777,0.840686472844354,0.726391874124373,0.852057768786228
"10",0.01,200,0.699444667092168,0.836309935286378,0.729881840387889,0.854083302651385
"10",0.05,50,0.704764829984091,0.839484332843595,0.731030568343782,0.854775516391682
"10",0.05,100,0.701198954495015,0.837358964138805,0.734546881347327,0.856836391930382
"10",0.05,200,0.699116094819789,0.836113950478639,0.740289818870794,0.860166032798081
"20",0.001,50,0.76356911085352,0.87380727863371,0.766377959366744,0.875194450113415
"20",0.001,100,0.746022597550632,0.863709293779728,0.75024958874656,0.865929784767225
"20",0.001,200,0.726857185556117,0.85254223653435,0.733714971112249,0.856343468404856
"20",0.005,50,0.721751151858667,0.849542899620672,0.731760083867161,0.855196738394348
"20",0.005,100,0.704125589911208,0.839104929966396,0.721320494129462,0.849071012289052
"20",0.005,200,0.686829387074873,0.82873505222049,0.716049856439388,0.845953725205105
"20",0.01,50,0.705200450087762,0.839744319258916,0.723441366417356,0.850316145163085
"20",0.01,100,0.688536286637543,0.829762592678575,0.716323923519248,0.84614557310484
"20",0.01,200,0.675391305969483,0.821805139853318,0.718567857724596,0.847450263848307
"20",0.05,50,0.681138681728234,0.825293765064198,0.721522734478399,0.849189102700511
"20",0.05,100,0.67326335804911,0.820507836701467,0.725856789908923,0.851735584953351
"20",0.05,200,0.668306732029117,0.817483967487159,0.734495708249961,0.85679288403573
"5x5",0.001,50,0.84460759026741,0.918151640450807,0.8427688830387,0.917595061873454
"5x5",0.001,100,0.756659433046538,0.869829733456901,0.760543274145757,0.871862174261206
"5x5",0.001,200,0.733099680506016,0.856195116299628,0.741946660502648,0.861123244384273
"5x5",0.005,50,0.731944413770183,0.855519485863696,0.741898443882228,0.861095235175509
"5x5",0.005,100,0.724754155801806,0.851307348364034,0.739021738930336,0.859440817609789
"5x5",0.005,200,0.723157223147161,0.850370210953455,0.739362833039215,0.859629702436103
"5x5",0.01,50,0.727136096916937,0.852706340274409,0.741294284375836,0.86074802432976
"5x5",0.01,100,0.723928712003367,0.850822878707037,0.741456887639856,0.860847578275486
"5x5",0.01,200,0.723012560526372,0.85028446166497,0.741337735833682,0.860792087495366
"5x5",0.05,50,0.727566794397922,0.852958323857671,0.744486296807662,0.862617867324395
"5x5",0.05,100,0.72592636463505,0.851995418603362,0.74983430783645,0.865681743408341
"5x5",0.05,200,0.724643647454678,0.851242004733888,0.748366317439057,0.864874362301648
"10x10",0.001,50,0.779013339492705,0.882598633061889,0.780587355410664,0.883247806782519
"10x10",0.001,100,0.748778555003705,0.865299941065525,0.753617464019717,0.867870165126898
"10x10",0.001,200,0.723678069519109,0.850673801963281,0.733665842423971,0.85630774724702
"10x10",0.005,50,0.720005028222471,0.848514180979678,0.732432577569514,0.855568249299721
"10x10",0.005,100,0.707971211926182,0.841391674560136,0.726947112214665,0.852371119126284
"10x10",0.005,200,0.700289862615997,0.836815836917844,0.731163783082687,0.85482752400334
"10x10",0.01,50,0.710456687139952,0.842867364584173,0.729124515838022,0.853665278323671
"10x10",0.01,100,0.702040182740786,0.83786209310263,0.729843524117753,0.854058770349012
"10x10",0.01,200,0.698188578139269,0.835557621616447,0.735998183729731,0.857700272965103
"10x10",0.05,50,0.704307139675693,0.839212899709422,0.735471203263848,0.857364197522179
"10x10",0.05,100,0.699730309851374,0.8364807315416,0.737026889234385,0.858242239707833
"10x10",0.05,200,0.696432366316768,0.834507220184134,0.736053395666796,0.857701611287152
"20x20",0.001,50,0.773688449782742,0.879577056919371,0.775449197605431,0.880361009124437
"20x20",0.001,100,0.743338360369314,0.862151743889872,0.74792474932893,0.864592703895118
"20x20",0.001,200,0.718868770649668,0.847845137157918,0.729776930304686,0.85404068616649
"20x20",0.005,50,0.713249870005736,0.844524921091146,0.726255693561676,0.851982718390109
"20x20",0.005,100,0.692684101096405,0.832258443529422,0.720038191421912,0.848305380504939
"20x20",0.005,200,0.674819778744416,0.821454498418035,0.72010193258226,0.848359916259855
"20x20",0.01,50,0.696227452217834,0.83438572024518,0.720818397847728,0.848789588864467
"20x20",0.01,100,0.68196222864206,0.825791905417492,0.722920618790744,0.849999590219189
"20x20",0.01,200,0.670071361373015,0.818562590300376,0.726969195899037,0.852384932016587
"20x20",0.05,50,0.681104738673937,0.825273103372308,0.724619775884063,0.850989902437351
"20x20",0.05,100,0.667744235717311,0.817138235302812,0.723922191949739,0.850599716909497
"20x20",0.05,200,0.657644611855338,0.810934591110978,0.731155817676064,0.854803190612522
